,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Kinect_cam,Kinect_cam,Kinect_cam,Kinect_cam,Kinect_cam,Kinect_cam,Kinect_cam,Kinect_cam,"Kinect_cam:Marker1","Kinect_cam:Marker1","Kinect_cam:Marker1","Kinect_cam:Marker1","Kinect_cam:Marker2","Kinect_cam:Marker2","Kinect_cam:Marker2","Kinect_cam:Marker2","Kinect_cam:Marker3","Kinect_cam:Marker3","Kinect_cam:Marker3","Kinect_cam:Marker3","Kinect_cam:Marker4","Kinect_cam:Marker4","Kinect_cam:Marker4","Kinect_cam:Marker4",Kinect_cam:Marker1,Kinect_cam:Marker1,Kinect_cam:Marker1,Kinect_cam:Marker2,Kinect_cam:Marker2,Kinect_cam:Marker2,Kinect_cam:Marker3,Kinect_cam:Marker3,Kinect_cam:Marker3,Kinect_cam:Marker4,Kinect_cam:Marker4,Kinect_cam:Marker4,Unlabeled 1460,Unlabeled 1460,Unlabeled 1460,Unlabeled 1461,Unlabeled 1461,Unlabeled 1461
,ID,"4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","4E30494859EA11F0D40A5771EB50C192","E3F90","E3F90","E3F90","E42C0","E42C0","E42C0","E3B80","E3B80","E3B80","E4270","E4270","E4270","E31A0","E31A0","E31A0","E49C0","E49C0","E49C0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
6,0.050000,0.761532,0.122096,-0.636081,-0.023713,-0.099992,0.509200,-0.281784,0.000166,-0.060787,0.475871,-0.253218,0.942386,-0.138767,0.536891,-0.295823,0.976128,-0.107787,0.481465,-0.260613,0.963020,-0.092839,0.542556,-0.317545,0.972320,-0.060982,0.475932,-0.253324,-0.138817,0.536819,-0.295786,-0.107651,0.481486,-0.260559,-0.092730,0.542546,-0.317530,-0.414457,-0.002218,-0.165037,-0.284618,0.441594,-0.479512
7,0.058333,0.761527,0.122109,-0.636085,-0.023711,-0.099985,0.509201,-0.281788,0.000167,-0.060779,0.475872,-0.253223,0.942162,-0.138761,0.536891,-0.295826,0.975946,-0.107779,0.481466,-0.260618,0.962036,-0.092833,0.542557,-0.317549,0.972333,-0.060976,0.475932,-0.253328,-0.138813,0.536819,-0.295790,-0.107640,0.481486,-0.260562,-0.092723,0.542550,-0.317536,-0.414446,-0.002214,-0.165033,-0.284619,0.441596,-0.479512
8,0.066667,0.761463,0.122175,-0.636149,-0.023708,-0.099989,0.509215,-0.281789,0.000158,-0.060774,0.475889,-0.253232,0.942162,-0.138771,0.536901,-0.295818,0.975946,-0.107777,0.481477,-0.260618,0.962036,-0.092848,0.542574,-0.317548,0.972333,-0.060970,0.475937,-0.253327,-0.138806,0.536827,-0.295786,-0.107636,0.481495,-0.260559,-0.092758,0.542582,-0.317545,-0.414181,-0.001925,-0.164730,-0.284617,0.441594,-0.479511
9,0.075000,0.761455,0.122201,-0.636154,-0.023698,-0.100000,0.509213,-0.281784,0.000158,-0.060783,0.475889,-0.253229,0.944458,-0.138783,0.536897,-0.295812,0.978052,-0.107786,0.481475,-0.260614,0.961686,-0.092861,0.542574,-0.317543,0.977356,-0.060980,0.475939,-0.253322,-0.138813,0.536827,-0.295782,-0.107643,0.481490,-0.260557,-0.092776,0.542579,-0.317538,-0.414180,-0.001960,-0.164701,-0.284618,0.441591,-0.479511
10,0.083333,0.761495,0.122102,-0.636124,-0.023711,-0.099998,0.509210,-0.281779,0.000165,-0.060789,0.475882,-0.253217,0.942932,-0.138775,0.536900,-0.295814,0.977582,-0.107790,0.481475,-0.260607,0.962124,-0.092849,0.542565,-0.317541,0.973861,-0.060984,0.475940,-0.253321,-0.138823,0.536831,-0.295781,-0.107650,0.481496,-0.260554,-0.092747,0.542554,-0.317524,-0.414046,-0.002035,-0.164616,-0.284620,0.441593,-0.479515
11,0.091667,0.761476,0.122168,-0.636135,-0.023711,-0.100005,0.509224,-0.281779,0.000160,-0.060791,0.475897,-0.253222,0.944425,-0.138785,0.536911,-0.295810,0.978201,-0.107793,0.481486,-0.260609,0.961760,-0.092861,0.542583,-0.317539,0.976700,-0.060986,0.475947,-0.253316,-0.138824,0.536839,-0.295778,-0.107653,0.481502,-0.260550,-0.092768,0.542589,-0.317535,-0.414178,-0.001947,-0.164702,-0.284617,0.441592,-0.479514
12,0.100000,0.761469,0.122177,-0.636141,-0.023707,-0.100001,0.509226,-0.281775,0.000159,-0.060787,0.475900,-0.253218,0.944425,-0.138783,0.536912,-0.295805,0.978201,-0.107789,0.481489,-0.260605,0.961760,-0.092859,0.542586,-0.317535,0.976700,-0.060982,0.475947,-0.253311,-0.138819,0.536838,-0.295772,-0.107649,0.481504,-0.260544,-0.092768,0.542597,-0.317535,-0.414177,-0.001947,-0.164704,-0.284615,0.441593,-0.479512
13,0.108333,0.761509,0.122102,-0.636108,-0.023728,-0.099997,0.509207,-0.281775,0.000166,-0.060790,0.475877,-0.253212,0.944634,-0.138773,0.536898,-0.295810,0.977784,-0.107791,0.481472,-0.260604,0.961708,-0.092846,0.542563,-0.317536,0.976943,-0.060988,0.475935,-0.253316,-0.138821,0.536825,-0.295773,-0.107651,0.481491,-0.260548,-0.092740,0.542558,-0.317524,-0.414181,-0.001965,-0.164681,-0.284619,0.441594,-0.479517
14,0.116667,0.761464,0.122169,-0.636148,-0.023715,-0.100005,0.509214,-0.281786,0.000159,-0.060790,0.475887,-0.253229,0.944315,-0.138786,0.536901,-0.295815,0.978016,-0.107792,0.481477,-0.260615,0.961653,-0.092862,0.542573,-0.317545,0.977139,-0.060986,0.475936,-0.253323,-0.138821,0.536827,-0.295782,-0.107652,0.481493,-0.260556,-0.092771,0.542583,-0.317543,-0.414179,-0.001950,-0.164686,-0.284628,0.441598,-0.479518
15,0.125000,0.761597,0.122197,-0.635981,-0.023770,-0.099977,0.509227,-0.281783,0.000173,-0.060776,0.475894,-0.253216,0.942467,-0.138750,0.536919,-0.295824,0.973216,-0.107775,0.481487,-0.260621,0.962551,-0.092817,0.542592,-0.317535,0.969748,-0.060972,0.475951,-0.253322,-0.138809,0.536840,-0.295782,-0.107640,0.481504,-0.260557,-0.092696,0.542596,-0.317534,-0.414321,-0.002019,-0.164765,-0.284614,0.441598,-0.479509
