,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Kinect_cam2,Kinect_cam2,Kinect_cam2,Kinect_cam2,Kinect_cam2,Kinect_cam2,Kinect_cam2,Kinect_cam2,"Kinect_cam2:Marker1","Kinect_cam2:Marker1","Kinect_cam2:Marker1","Kinect_cam2:Marker1","Kinect_cam2:Marker2","Kinect_cam2:Marker2","Kinect_cam2:Marker2","Kinect_cam2:Marker2","Kinect_cam2:Marker3","Kinect_cam2:Marker3","Kinect_cam2:Marker3","Kinect_cam2:Marker3","Kinect_cam2:Marker4","Kinect_cam2:Marker4","Kinect_cam2:Marker4","Kinect_cam2:Marker4",Kinect_cam2:Marker1,Kinect_cam2:Marker1,Kinect_cam2:Marker1,Kinect_cam2:Marker2,Kinect_cam2:Marker2,Kinect_cam2:Marker2,Kinect_cam2:Marker3,Kinect_cam2:Marker3,Kinect_cam2:Marker3,Kinect_cam2:Marker4,Kinect_cam2:Marker4,Kinect_cam2:Marker4,Unlabeled 1125,Unlabeled 1125,Unlabeled 1125,Unlabeled 1126,Unlabeled 1126,Unlabeled 1126,Unlabeled 1127,Unlabeled 1127,Unlabeled 1127
,ID,"68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","DF6B0","DF6B0","DF6B0","DF290","DF290","DF290","DF190","DF190","DF190","DF2C0","DF2C0","DF2C0","DF730","DF730","DF730","DF760","DF760","DF760","DF790","DF790","DF790"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
6,0.050000,0.132617,-0.037029,0.135670,0.981140,-0.160936,0.470871,0.450497,0.000071,-0.134825,0.451531,0.435485,0.977305,-0.147096,0.501303,0.486890,0.978817,-0.165932,0.438586,0.401825,0.981979,-0.195880,0.492155,0.477560,0.978814,-0.134877,0.451478,0.435538,-0.147138,0.501335,0.486823,-0.165908,0.438653,0.401822,-0.195812,0.492107,0.477576,-0.075049,0.412699,0.627917,0.024451,0.002523,-0.187129,,,
7,0.058333,0.132629,-0.037017,0.135652,0.981141,-0.160938,0.470864,0.450502,0.000071,-0.134829,0.451524,0.435489,0.976710,-0.147097,0.501295,0.486895,0.978530,-0.165937,0.438580,0.401830,0.981715,-0.195881,0.492148,0.477567,0.978898,-0.134883,0.451471,0.435544,-0.147137,0.501327,0.486827,-0.165910,0.438648,0.401825,-0.195814,0.492101,0.477586,-0.075045,0.412698,0.627914,0.024696,0.002473,-0.187409,,,
8,0.066667,0.132626,-0.037035,0.135657,0.981140,-0.160938,0.470861,0.450498,0.000071,-0.134828,0.451521,0.435486,0.976710,-0.147098,0.501292,0.486892,0.978530,-0.165935,0.438577,0.401825,0.981715,-0.195882,0.492145,0.477561,0.978898,-0.134880,0.451470,0.435541,-0.147138,0.501324,0.486824,-0.165911,0.438645,0.401822,-0.195814,0.492097,0.477577,-0.074983,0.412595,0.627972,0.023828,0.002256,-0.186711,-0.131584,0.409751,0.423642
9,0.075000,0.132637,-0.037038,0.135661,0.981138,-0.160927,0.470872,0.450496,0.000072,-0.134817,0.451532,0.435484,0.977081,-0.147088,0.501302,0.486891,0.978817,-0.165924,0.438589,0.401823,0.981974,-0.195872,0.492155,0.477560,0.978776,-0.134868,0.451481,0.435537,-0.147129,0.501333,0.486823,-0.165899,0.438656,0.401821,-0.195804,0.492108,0.477576,-0.075043,0.412702,0.627914,0.024696,0.002480,-0.187407,,,
10,0.083333,0.132629,-0.037043,0.135661,0.981139,-0.160923,0.470884,0.450499,0.000071,-0.134812,0.451544,0.435487,0.977411,-0.147084,0.501314,0.486893,0.979045,-0.165919,0.438600,0.401826,0.982073,-0.195868,0.492167,0.477562,0.978663,-0.134864,0.451492,0.435540,-0.147125,0.501346,0.486827,-0.165895,0.438667,0.401824,-0.195799,0.492119,0.477577,-0.075046,0.412703,0.627919,0.024448,0.002514,-0.187129,,,
11,0.091667,0.132635,-0.037034,0.135657,0.981139,-0.160933,0.470875,0.450498,0.000072,-0.134822,0.451535,0.435486,0.977494,-0.147092,0.501305,0.486893,0.979092,-0.165930,0.438592,0.401825,0.982273,-0.195876,0.492158,0.477563,0.978876,-0.134875,0.451486,0.435540,-0.147133,0.501335,0.486826,-0.165905,0.438658,0.401823,-0.195808,0.492111,0.477578,-0.075047,0.412704,0.627921,0.024454,0.002518,-0.187124,,,
12,0.100000,0.132625,-0.037060,0.135633,0.981143,-0.160941,0.470862,0.450488,0.000072,-0.134831,0.451521,0.435478,0.977494,-0.147100,0.501292,0.486883,0.979092,-0.165937,0.438579,0.401815,0.982273,-0.195885,0.492148,0.477551,0.978876,-0.134885,0.451469,0.435531,-0.147141,0.501324,0.486816,-0.165911,0.438646,0.401813,-0.195816,0.492101,0.477567,-0.075044,0.412701,0.627915,0.024450,0.002519,-0.187124,-0.131572,0.409757,0.423626
13,0.108333,0.132615,-0.037049,0.135652,0.981142,-0.160943,0.470855,0.450485,0.000072,-0.134832,0.451514,0.435474,0.977123,-0.147103,0.501287,0.486878,0.978916,-0.165939,0.438570,0.401813,0.981938,-0.195887,0.492140,0.477547,0.978809,-0.134886,0.451461,0.435527,-0.147145,0.501319,0.486811,-0.165912,0.438638,0.401810,-0.195818,0.492092,0.477564,-0.075043,0.412698,0.627912,,,,,,
14,0.116667,0.132621,-0.037052,0.135644,0.981142,-0.160935,0.470870,0.450477,0.000071,-0.134825,0.451529,0.435467,0.977587,-0.147096,0.501300,0.486871,0.978955,-0.165932,0.438586,0.401805,0.981879,-0.195880,0.492155,0.477540,0.978730,-0.134877,0.451475,0.435516,-0.147138,0.501333,0.486807,-0.165907,0.438654,0.401804,-0.195811,0.492108,0.477555,-0.074981,0.412595,0.627977,0.023825,0.002261,-0.186714,,,
15,0.125000,0.132624,-0.037066,0.135660,0.981139,-0.160931,0.470874,0.450475,0.000071,-0.134820,0.451534,0.435465,0.977830,-0.147093,0.501305,0.486870,0.979222,-0.165925,0.438590,0.401802,0.981909,-0.195877,0.492158,0.477536,0.978765,-0.134870,0.451481,0.435515,-0.147135,0.501338,0.486806,-0.165902,0.438659,0.401802,-0.195808,0.492110,0.477550,-0.074984,0.412597,0.627976,0.024703,0.002477,-0.187414,,,
