Format Version,1.23,Take Name,calib_desktop_005,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-07-28 07.58.15.508 PM,Capture Start Frame,153012,Total Frames in Take,32,Total Exported Frames,32,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Kinect_cam2,Kinect_cam2,Kinect_cam2,Kinect_cam2,Kinect_cam2,Kinect_cam2,Kinect_cam2,Kinect_cam2,"Kinect_cam2:Marker1","Kinect_cam2:Marker1","Kinect_cam2:Marker1","Kinect_cam2:Marker1","Kinect_cam2:Marker2","Kinect_cam2:Marker2","Kinect_cam2:Marker2","Kinect_cam2:Marker2","Kinect_cam2:Marker3","Kinect_cam2:Marker3","Kinect_cam2:Marker3","Kinect_cam2:Marker3","Kinect_cam2:Marker4","Kinect_cam2:Marker4","Kinect_cam2:Marker4","Kinect_cam2:Marker4",Kinect_cam2:Marker1,Kinect_cam2:Marker1,Kinect_cam2:Marker1,Kinect_cam2:Marker2,Kinect_cam2:Marker2,Kinect_cam2:Marker2,Kinect_cam2:Marker3,Kinect_cam2:Marker3,Kinect_cam2:Marker3,Kinect_cam2:Marker4,Kinect_cam2:Marker4,Kinect_cam2:Marker4
,ID,"68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","C85E0","C85E0","C85E0","C85D0","C85D0","C85D0","C85C0","C85C0","C85C0","C85F0","C85F0","C85F0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.039303,-0.171098,0.002461,-0.984467,0.160430,0.680166,0.550403,0.000218,0.174655,0.650228,0.536895,0.979963,0.192582,0.715141,0.564008,0.944479,0.130711,0.636967,0.524195,0.971185,0.143697,0.718333,0.576284,0.924300,0.174599,0.650238,0.536838,0.192418,0.715213,0.564139,0.130727,0.637028,0.524292,0.143902,0.718190,0.576113
1,0.008333,0.039310,-0.171124,0.002458,-0.984462,0.160431,0.680160,0.550400,0.000219,0.174656,0.650221,0.536891,0.980273,0.192584,0.715135,0.564002,0.944710,0.130711,0.636961,0.524194,0.970951,0.143700,0.718327,0.576281,0.923659,0.174601,0.650234,0.536837,0.192421,0.715207,0.564133,0.130725,0.637022,0.524291,0.143904,0.718181,0.576108
2,0.016667,0.039312,-0.171134,0.002460,-0.984460,0.160434,0.680155,0.550397,0.000220,0.174658,0.650216,0.536887,0.980273,0.192587,0.715130,0.563998,0.944710,0.130713,0.636956,0.524191,0.970951,0.143703,0.718323,0.576278,0.923659,0.174603,0.650227,0.536831,0.192421,0.715203,0.564130,0.130728,0.637018,0.524289,0.143909,0.718177,0.576104
3,0.025000,0.039296,-0.171121,0.002448,-0.984463,0.160431,0.680154,0.550396,0.000218,0.174657,0.650217,0.536886,0.979833,0.192583,0.715130,0.564000,0.945406,0.130712,0.636955,0.524188,0.970956,0.143699,0.718321,0.576278,0.924180,0.174599,0.650228,0.536831,0.192425,0.715204,0.564130,0.130727,0.637017,0.524285,0.143900,0.718173,0.576105
4,0.033333,0.039496,-0.170865,0.002534,-0.984499,0.160444,0.680150,0.550400,0.000207,0.174674,0.650205,0.536910,0.979833,0.192591,0.715128,0.564006,0.945406,0.130734,0.636942,0.524195,0.970956,0.143701,0.718329,0.576257,0.924180,0.174645,0.650205,0.536873,0.192423,0.715206,0.564122,0.130730,0.637015,0.524280,0.143902,0.718178,0.576094
5,0.041667,0.039471,-0.170625,0.002428,-0.984542,0.160438,0.680142,0.550389,0.000206,0.174681,0.650202,0.536903,0.984499,0.192572,0.715126,0.564013,0.946298,0.130751,0.636930,0.524166,0.975962,0.143675,0.718315,0.576241,0.927131,0.174629,0.650201,0.536870,0.192407,0.715207,0.564124,0.130763,0.636991,0.524240,0.143880,0.718175,0.576089
6,0.050000,0.038608,-0.171788,0.001358,-0.984376,0.160366,0.680128,0.550467,0.000132,0.174627,0.650240,0.536885,0.984499,0.192472,0.715139,0.564085,0.946298,0.130689,0.636919,0.524227,0.975962,0.143599,0.718218,0.576438,0.927131,0.174618,0.650193,0.536872,0.192393,0.715198,0.564126,0.130697,0.637012,0.524282,0.143680,0.718113,0.576354
7,0.058333,0.038420,-0.172041,0.001244,-0.984340,0.160356,0.680137,0.550455,0.000147,0.174614,0.650257,0.536853,0.984016,0.192464,0.715148,0.564070,0.973303,0.130671,0.636934,0.524213,0.972034,0.143598,0.718215,0.576450,0.959314,0.174570,0.650223,0.536821,0.192392,0.715202,0.564128,0.130704,0.637016,0.524282,0.143681,0.718112,0.576355
8,0.066667,0.039314,-0.171079,0.002464,-0.984470,0.160420,0.680156,0.550387,0.000219,0.174646,0.650218,0.536879,0.984016,0.192572,0.715132,0.563992,0.973303,0.130702,0.636957,0.524178,0.972034,0.143687,0.718324,0.576266,0.959314,0.174589,0.650227,0.536819,0.192411,0.715205,0.564125,0.130719,0.637019,0.524279,0.143887,0.718180,0.576092
9,0.075000,0.039299,-0.171084,0.002450,-0.984469,0.160430,0.680160,0.550394,0.000217,0.174656,0.650222,0.536885,0.979622,0.192581,0.715135,0.563999,0.945178,0.130712,0.636961,0.524184,0.971154,0.143696,0.718326,0.576274,0.924851,0.174598,0.650232,0.536829,0.192420,0.715208,0.564129,0.130730,0.637021,0.524280,0.143898,0.718183,0.576104
10,0.083333,0.039289,-0.170931,0.002338,-0.984497,0.160447,0.680153,0.550392,0.000214,0.174684,0.650219,0.536886,0.979622,0.192586,0.715135,0.564010,0.945178,0.130747,0.636948,0.524171,0.971154,0.143696,0.718314,0.576270,0.924851,0.174603,0.650234,0.536837,0.192425,0.715208,0.564134,0.130779,0.636993,0.524253,0.143906,0.718182,0.576112
11,0.091667,0.038425,-0.172091,0.001229,-0.984331,0.160387,0.680141,0.550482,0.000143,0.174645,0.650261,0.536879,0.984749,0.192496,0.715153,0.564094,0.973360,0.130701,0.636938,0.524243,0.973469,0.143631,0.718219,0.576479,0.960528,0.174604,0.650226,0.536852,0.192422,0.715207,0.564148,0.130732,0.637017,0.524306,0.143716,0.718120,0.576390
12,0.100000,0.038385,-0.171883,0.001113,-0.984369,0.160403,0.680137,0.550471,0.000137,0.174673,0.650262,0.536871,0.984749,0.192498,0.715154,0.564101,0.973360,0.130737,0.636930,0.524215,0.973469,0.143627,0.718207,0.576466,0.960528,0.174607,0.650233,0.536853,0.192426,0.715208,0.564147,0.130783,0.636990,0.524261,0.143719,0.718121,0.576391
13,0.108333,0.038409,-0.172109,0.001250,-0.984328,0.160381,0.680150,0.550478,0.000141,0.174637,0.650269,0.536874,0.985420,0.192492,0.715160,0.564090,0.973769,0.130692,0.636949,0.524239,0.973835,0.143627,0.718227,0.576477,0.960093,0.174596,0.650238,0.536846,0.192420,0.715213,0.564144,0.130721,0.637026,0.524303,0.143711,0.718127,0.576385
14,0.116667,0.039299,-0.171139,0.002426,-0.984460,0.160420,0.680170,0.550405,0.000216,0.174646,0.650233,0.536895,0.985420,0.192571,0.715147,0.564008,0.973769,0.130701,0.636970,0.524199,0.973835,0.143687,0.718336,0.576288,0.960093,0.174587,0.650245,0.536840,0.192411,0.715218,0.564137,0.130719,0.637028,0.524294,0.143889,0.718194,0.576119
15,0.125000,0.038411,-0.172069,0.001229,-0.984335,0.160373,0.680155,0.550462,0.000143,0.174631,0.650276,0.536859,0.985370,0.192481,0.715167,0.564077,0.974065,0.130688,0.636953,0.524221,0.973436,0.143615,0.718232,0.576460,0.959726,0.174588,0.650248,0.536830,0.192410,0.715218,0.564133,0.130718,0.637030,0.524287,0.143698,0.718131,0.576366
16,0.133333,0.038416,-0.172064,0.001246,-0.984336,0.160373,0.680148,0.550457,0.000143,0.174631,0.650268,0.536855,0.985401,0.192483,0.715158,0.564071,0.973592,0.130687,0.636946,0.524216,0.973175,0.143617,0.718226,0.576454,0.959561,0.174591,0.650239,0.536824,0.192411,0.715210,0.564129,0.130716,0.637024,0.524284,0.143700,0.718124,0.576359
17,0.141667,0.039452,-0.170658,0.002414,-0.984537,0.160447,0.680143,0.550388,0.000206,0.174690,0.650203,0.536900,0.985401,0.192581,0.715127,0.564011,0.973592,0.130758,0.636932,0.524165,0.973175,0.143684,0.718314,0.576243,0.959561,0.174639,0.650205,0.536866,0.192412,0.715205,0.564124,0.130769,0.636992,0.524240,0.143892,0.718175,0.576090
18,0.150000,0.039486,-0.170835,0.002535,-0.984505,0.160429,0.680148,0.550397,0.000209,0.174659,0.650203,0.536907,0.988365,0.192575,0.715126,0.564005,0.944680,0.130721,0.636941,0.524189,0.970654,0.143684,0.718326,0.576254,0.924078,0.174635,0.650203,0.536868,0.192405,0.715203,0.564123,0.130714,0.637017,0.524278,0.143886,0.718173,0.576086
19,0.158333,0.039469,-0.170666,0.002430,-0.984535,0.160438,0.680147,0.550389,0.000205,0.174680,0.650207,0.536902,0.988365,0.192573,0.715131,0.564011,0.944680,0.130748,0.636936,0.524169,0.970654,0.143677,0.718320,0.576243,0.924078,0.174632,0.650207,0.536870,0.192405,0.715210,0.564121,0.130758,0.636996,0.524242,0.143884,0.718181,0.576092
20,0.166667,0.038411,-0.171832,0.001152,-0.984377,0.160376,0.680140,0.550449,0.000142,0.174646,0.650263,0.536852,0.981281,0.192472,0.715156,0.564080,0.975178,0.130711,0.636933,0.524193,0.976580,0.143600,0.718213,0.576440,0.961816,0.174578,0.650240,0.536834,0.192403,0.715209,0.564128,0.130758,0.636996,0.524244,0.143690,0.718120,0.576359
21,0.175000,0.038432,-0.172110,0.001256,-0.984327,0.160365,0.680143,0.550469,0.000143,0.174621,0.650262,0.536866,0.981281,0.192476,0.715154,0.564079,0.975178,0.130676,0.636941,0.524232,0.976580,0.143611,0.718222,0.576466,0.961816,0.174581,0.650232,0.536838,0.192408,0.715207,0.564134,0.130704,0.637022,0.524299,0.143691,0.718117,0.576371
22,0.183333,0.038440,-0.172101,0.001270,-0.984328,0.160370,0.680139,0.550473,0.000143,0.174625,0.650257,0.536871,0.985561,0.192481,0.715148,0.564083,0.974312,0.130680,0.636936,0.524237,0.973204,0.143617,0.718219,0.576469,0.959836,0.174583,0.650227,0.536846,0.192411,0.715201,0.564136,0.130711,0.637017,0.524301,0.143699,0.718116,0.576377
23,0.191667,0.039270,-0.170924,0.002337,-0.984499,0.160441,0.680146,0.550397,0.000217,0.174678,0.650213,0.536890,0.985561,0.192580,0.715128,0.564016,0.974312,0.130741,0.636943,0.524174,0.973204,0.143690,0.718307,0.576276,0.959836,0.174595,0.650228,0.536845,0.192418,0.715200,0.564136,0.130776,0.636992,0.524255,0.143900,0.718172,0.576119
24,0.200000,0.039303,-0.171158,0.002431,-0.984456,0.160447,0.680156,0.550406,0.000218,0.174672,0.650219,0.536896,0.981263,0.192599,0.715133,0.564007,0.945216,0.130727,0.636956,0.524201,0.971084,0.143716,0.718322,0.576289,0.923616,0.174618,0.650231,0.536845,0.192436,0.715205,0.564134,0.130740,0.637020,0.524297,0.143919,0.718173,0.576117
25,0.208333,0.039307,-0.171153,0.002439,-0.984457,0.160450,0.680158,0.550410,0.000215,0.174675,0.650221,0.536899,0.981263,0.192602,0.715135,0.564010,0.945216,0.130729,0.636958,0.524205,0.971084,0.143719,0.718325,0.576292,0.923616,0.174622,0.650232,0.536846,0.192438,0.715207,0.564139,0.130743,0.637018,0.524299,0.143923,0.718182,0.576122
