,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Kinect_cam2,Kinect_cam2,Kinect_cam2,Kinect_cam2,Kinect_cam2,Kinect_cam2,Kinect_cam2,Kinect_cam2,"Kinect_cam2:Marker1","Kinect_cam2:Marker1","Kinect_cam2:Marker1","Kinect_cam2:Marker1","Kinect_cam2:Marker2","Kinect_cam2:Marker2","Kinect_cam2:Marker2","Kinect_cam2:Marker2","Kinect_cam2:Marker3","Kinect_cam2:Marker3","Kinect_cam2:Marker3","Kinect_cam2:Marker3","Kinect_cam2:Marker4","Kinect_cam2:Marker4","Kinect_cam2:Marker4","Kinect_cam2:Marker4",Kinect_cam2:Marker1,Kinect_cam2:Marker1,Kinect_cam2:Marker1,Kinect_cam2:Marker2,Kinect_cam2:Marker2,Kinect_cam2:Marker2,Kinect_cam2:Marker3,Kinect_cam2:Marker3,Kinect_cam2:Marker3,Kinect_cam2:Marker4,Kinect_cam2:Marker4,Kinect_cam2:Marker4,Unlabeled 1008,Unlabeled 1008,Unlabeled 1008
,ID,"68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","C51F0","C51F0","C51F0","C42D0","C42D0","C42D0","C4340","C4340","C4340","C3500","C3500","C3500","C5250","C5250","C5250"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
5,0.041667,-0.046293,0.073775,-0.011276,-0.996136,-0.102649,0.548168,0.348609,0.000042,-0.082035,0.520633,0.338709,0.937974,-0.082696,0.579466,0.381235,0.952520,-0.114081,0.510867,0.304858,0.954904,-0.131740,0.581754,0.369399,0.963279,-0.081863,0.520730,0.338559,-0.082742,0.579343,0.381373,-0.114193,0.510793,0.304978,-0.131754,0.581853,0.369291,,,
6,0.050000,-0.046426,0.073630,-0.011094,-0.996143,-0.102678,0.548173,0.348599,0.000061,-0.082076,0.520634,0.338685,0.937974,-0.082705,0.579455,0.381228,0.952520,-0.114136,0.510889,0.304840,0.954904,-0.131751,0.581763,0.369407,0.963279,-0.081874,0.520734,0.338560,-0.082752,0.579342,0.381374,-0.114282,0.510812,0.304935,-0.131761,0.581852,0.369291,,,
7,0.058333,-0.046414,0.073659,-0.011095,-0.996141,-0.102681,0.548167,0.348596,0.000062,-0.082079,0.520627,0.338684,0.935743,-0.082710,0.579449,0.381225,0.952520,-0.114137,0.510881,0.304838,0.952430,-0.131756,0.581757,0.369402,0.963141,-0.081877,0.520727,0.338560,-0.082755,0.579337,0.381372,-0.114283,0.510807,0.304934,-0.131766,0.581844,0.369284,-0.089539,0.478098,0.333566
8,0.066667,-0.046401,0.073647,-0.011092,-0.996143,-0.102672,0.548161,0.348594,0.000062,-0.082070,0.520621,0.338682,0.935743,-0.082700,0.579444,0.381222,0.952520,-0.114129,0.510874,0.304837,0.952430,-0.131746,0.581751,0.369400,0.963141,-0.081867,0.520720,0.338559,-0.082747,0.579330,0.381366,-0.114275,0.510799,0.304932,-0.131757,0.581841,0.369283,,,
9,0.075000,-0.046360,0.073667,-0.011196,-0.996142,-0.102656,0.548168,0.348605,0.000076,-0.082048,0.520631,0.338697,0.932649,-0.082692,0.579458,0.381231,0.952033,-0.114103,0.510875,0.304851,0.950054,-0.131738,0.581755,0.369406,0.963033,-0.081825,0.520750,0.338602,-0.082740,0.579330,0.381365,-0.114269,0.510800,0.304932,-0.131745,0.581840,0.369285,,,
10,0.083333,-0.046225,0.073804,-0.011392,-0.996136,-0.102638,0.548164,0.348617,0.000057,-0.082017,0.520631,0.338723,0.932649,-0.082695,0.579471,0.381240,0.952033,-0.114059,0.510854,0.304870,0.950054,-0.131738,0.581746,0.369400,0.963033,-0.081828,0.520754,0.338605,-0.082740,0.579333,0.381367,-0.114192,0.510778,0.304975,-0.131748,0.581838,0.369286,,,
11,0.091667,-0.046223,0.073863,-0.011220,-0.996133,-0.102646,0.548156,0.348614,0.000045,-0.082034,0.520616,0.338722,0.939600,-0.082696,0.579455,0.381240,0.953790,-0.114076,0.510851,0.304866,0.955999,-0.131737,0.581748,0.369395,0.964517,-0.081863,0.520717,0.338585,-0.082741,0.579334,0.381372,-0.114192,0.510777,0.304977,-0.131748,0.581841,0.369289,-0.089652,0.478071,0.333562
12,0.100000,-0.046249,0.073882,-0.011219,-0.996131,-0.102646,0.548160,0.348621,0.000044,-0.082033,0.520621,0.338727,0.939600,-0.082696,0.579457,0.381248,0.953790,-0.114074,0.510857,0.304870,0.955999,-0.131737,0.581751,0.369402,0.964517,-0.081861,0.520720,0.338589,-0.082742,0.579337,0.381381,-0.114189,0.510784,0.304981,-0.131749,0.581845,0.369296,,,
13,0.108333,-0.046448,0.073622,-0.011120,-0.996142,-0.102671,0.548163,0.348609,0.000061,-0.082068,0.520626,0.338694,0.935426,-0.082700,0.579445,0.381239,0.952332,-0.114128,0.510880,0.304849,0.952427,-0.131747,0.581751,0.369420,0.963106,-0.081865,0.520724,0.338568,-0.082747,0.579333,0.381386,-0.114274,0.510803,0.304944,-0.131757,0.581841,0.369304,,,
14,0.116667,-0.046444,0.073619,-0.011136,-0.996142,-0.102675,0.548161,0.348612,0.000062,-0.082071,0.520624,0.338696,0.935426,-0.082704,0.579443,0.381241,0.952332,-0.114131,0.510877,0.304852,0.952427,-0.131751,0.581747,0.369422,0.963106,-0.081866,0.520720,0.338571,-0.082751,0.579331,0.381387,-0.114276,0.510801,0.304947,-0.131763,0.581840,0.369307,,,
15,0.125000,-0.046414,0.073644,-0.011086,-0.996142,-0.102665,0.548165,0.348608,0.000060,-0.082063,0.520625,0.338695,0.935746,-0.082692,0.579447,0.381236,0.952350,-0.114123,0.510879,0.304850,0.952543,-0.131739,0.581755,0.369415,0.963379,-0.081863,0.520726,0.338570,-0.082741,0.579333,0.381382,-0.114268,0.510802,0.304945,-0.131746,0.581844,0.369299,-0.089352,0.478073,0.333216
16,0.133333,-0.046409,0.073633,-0.011079,-0.996143,-0.102656,0.548168,0.348608,0.000061,-0.082055,0.520627,0.338695,0.935796,-0.082682,0.579450,0.381236,0.952614,-0.114115,0.510882,0.304851,0.952532,-0.131729,0.581759,0.369416,0.963439,-0.081853,0.520727,0.338572,-0.082731,0.579337,0.381381,-0.114262,0.510808,0.304946,-0.131736,0.581847,0.369299,,,
