Format Version,1.23,Take Name,calib_desktop_004,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-07-28 07.57.53.988 PM,Capture Start Frame,150429,Total Frames in Take,30,Total Exported Frames,30,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Kinect_cam2,Kinect_cam2,Kinect_cam2,Kinect_cam2,Kinect_cam2,Kinect_cam2,Kinect_cam2,Kinect_cam2,"Kinect_cam2:Marker1","Kinect_cam2:Marker1","Kinect_cam2:Marker1","Kinect_cam2:Marker1","Kinect_cam2:Marker2","Kinect_cam2:Marker2","Kinect_cam2:Marker2","Kinect_cam2:Marker2","Kinect_cam2:Marker3","Kinect_cam2:Marker3","Kinect_cam2:Marker3","Kinect_cam2:Marker3","Kinect_cam2:Marker4","Kinect_cam2:Marker4","Kinect_cam2:Marker4","Kinect_cam2:Marker4",Kinect_cam2:Marker1,Kinect_cam2:Marker1,Kinect_cam2:Marker1,Kinect_cam2:Marker2,Kinect_cam2:Marker2,Kinect_cam2:Marker2,Kinect_cam2:Marker3,Kinect_cam2:Marker3,Kinect_cam2:Marker3,Kinect_cam2:Marker4,Kinect_cam2:Marker4,Kinect_cam2:Marker4,Unlabeled 1023,Unlabeled 1023,Unlabeled 1023
,ID,"68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","C82A0","C82A0","C82A0","C42D0","C42D0","C42D0","C82B0","C82B0","C82B0","C3500","C3500","C3500","C8440","C8440","C8440"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.120678,-0.140844,-0.003533,-0.982643,0.170933,0.737696,0.548553,0.000226,0.185081,0.712787,0.527092,0.947209,0.203192,0.765063,0.574097,0.944118,0.141668,0.706328,0.508605,0.932968,0.153734,0.766686,0.584193,0.936437,0.185059,0.712909,0.526921,0.203060,0.764951,0.574239,0.141722,0.706342,0.508867,0.153833,0.766663,0.583960,,,
1,0.008333,-0.120964,-0.141013,-0.004053,-0.982582,0.170902,0.737687,0.548580,0.000192,0.185069,0.712807,0.527098,0.950187,0.203139,0.765067,0.574137,0.953430,0.141658,0.706319,0.508616,0.933997,0.153682,0.766635,0.584245,0.949401,0.185056,0.712912,0.526930,0.203046,0.764949,0.574247,0.141719,0.706342,0.508871,0.153727,0.766625,0.584048,,,
2,0.016667,-0.120957,-0.141075,-0.004059,-0.982574,0.170898,0.737693,0.548580,0.000190,0.185063,0.712814,0.527097,0.950187,0.203137,0.765075,0.574133,0.953430,0.141650,0.706325,0.508620,0.933997,0.153681,0.766641,0.584247,0.949401,0.185051,0.712917,0.526929,0.203046,0.764958,0.574243,0.141709,0.706347,0.508874,0.153725,0.766631,0.584051,,,
3,0.025000,-0.120963,-0.141117,-0.004038,-0.982567,0.170897,0.737698,0.548586,0.000187,0.185060,0.712818,0.527102,0.950025,0.203140,0.765078,0.574136,0.954550,0.141644,0.706331,0.508628,0.935206,0.153685,0.766646,0.584255,0.950580,0.185044,0.712921,0.526931,0.203054,0.764964,0.574249,0.141705,0.706349,0.508879,0.153725,0.766639,0.584062,0.175320,0.671562,0.519735
4,0.033333,-0.120467,-0.140360,-0.003829,-0.982737,0.170948,0.737683,0.548641,0.000180,0.185132,0.712774,0.527205,0.950025,0.203165,0.765076,0.574210,0.954550,0.141741,0.706286,0.508674,0.935206,0.153696,0.766677,0.584254,0.950580,0.185235,0.712868,0.527136,0.203056,0.764961,0.574255,0.141709,0.706349,0.508882,0.153733,0.766635,0.584069,,,
5,0.041667,-0.120179,-0.140138,-0.003366,-0.982806,0.170983,0.737686,0.548618,0.000217,0.185152,0.712750,0.527204,0.958950,0.203215,0.765069,0.574179,0.948819,0.141761,0.706287,0.508662,0.942484,0.153744,0.766721,0.584204,0.938533,0.185248,0.712862,0.527134,0.203061,0.764954,0.574250,0.141726,0.706344,0.508882,0.153836,0.766665,0.583983,,,
