Format Version,1.23,Take Name,calib_desktop_008,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-07-28 08.00.54.332 PM,Capture Start Frame,172071,Total Frames in Take,30,Total Exported Frames,30,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Kinect_cam2,Kinect_cam2,Kinect_cam2,Kinect_cam2,Kinect_cam2,Kinect_cam2,Kinect_cam2,Kinect_cam2,"Kinect_cam2:Marker1","Kinect_cam2:Marker1","Kinect_cam2:Marker1","Kinect_cam2:Marker1","Kinect_cam2:Marker2","Kinect_cam2:Marker2","Kinect_cam2:Marker2","Kinect_cam2:Marker2","Kinect_cam2:Marker3","Kinect_cam2:Marker3","Kinect_cam2:Marker3","Kinect_cam2:Marker3","Kinect_cam2:Marker4","Kinect_cam2:Marker4","Kinect_cam2:Marker4","Kinect_cam2:Marker4",Kinect_cam2:Marker1,Kinect_cam2:Marker1,Kinect_cam2:Marker1,Kinect_cam2:Marker2,Kinect_cam2:Marker2,Kinect_cam2:Marker2,Kinect_cam2:Marker3,Kinect_cam2:Marker3,Kinect_cam2:Marker3,Kinect_cam2:Marker4,Kinect_cam2:Marker4,Kinect_cam2:Marker4,Unlabeled 1042,Unlabeled 1042,Unlabeled 1042
,ID,"68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","CBA90","CBA90","CBA90","CB9C0","CB9C0","CB9C0","CBA70","CBA70","CBA70","CBAA0","CBAA0","CBAA0","CC140","CC140","CC140"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.003089,0.728787,-0.013070,-0.684609,-0.344146,0.552950,-0.052761,0.000122,-0.334506,0.524534,-0.033249,0.951715,-0.372688,0.586188,-0.029898,0.966235,-0.304251,0.512843,-0.068123,0.956432,-0.364900,0.588267,-0.079754,0.971211,-0.334532,0.524368,-0.033154,-0.372561,0.586148,-0.029921,-0.304302,0.513008,-0.068099,-0.364950,0.588308,-0.079849,-0.614892,0.508150,-0.011558
1,0.008333,-0.003072,0.728777,-0.013082,-0.684620,-0.344146,0.552952,-0.052766,0.000121,-0.334505,0.524536,-0.033253,0.951926,-0.372686,0.586190,-0.029903,0.966633,-0.304251,0.512843,-0.068127,0.956696,-0.364900,0.588267,-0.079759,0.972012,-0.334530,0.524371,-0.033158,-0.372561,0.586151,-0.029929,-0.304303,0.513007,-0.068104,-0.364948,0.588308,-0.079851,-0.614895,0.508149,-0.011565
2,0.016667,-0.003087,0.728797,-0.013080,-0.684598,-0.344151,0.552945,-0.052770,0.000120,-0.334511,0.524530,-0.033257,0.951926,-0.372693,0.586183,-0.029907,0.966633,-0.304254,0.512838,-0.068129,0.956696,-0.364904,0.588261,-0.079763,0.972012,-0.334538,0.524365,-0.033159,-0.372566,0.586143,-0.029933,-0.304303,0.513002,-0.068108,-0.364954,0.588303,-0.079857,-0.614895,0.508156,-0.011564
3,0.025000,-0.003083,0.728791,-0.013068,-0.684605,-0.344158,0.552943,-0.052769,0.000120,-0.334519,0.524527,-0.033256,0.952059,-0.372700,0.586181,-0.029906,0.966277,-0.304263,0.512835,-0.068130,0.957072,-0.364911,0.588259,-0.079762,0.971458,-0.334544,0.524363,-0.033160,-0.372574,0.586140,-0.029931,-0.304314,0.512997,-0.068107,-0.364961,0.588302,-0.079855,-0.614881,0.508159,-0.011541
4,0.033333,-0.003060,0.728763,-0.013096,-0.684634,-0.344156,0.552950,-0.052762,0.000122,-0.334514,0.524535,-0.033248,0.952059,-0.372695,0.586189,-0.029899,0.966277,-0.304261,0.512841,-0.068123,0.957072,-0.364911,0.588264,-0.079756,0.971458,-0.334538,0.524369,-0.033154,-0.372571,0.586151,-0.029924,-0.304313,0.513005,-0.068100,-0.364960,0.588304,-0.079848,-0.614872,0.508162,-0.011530
5,0.041667,-0.003214,0.729005,-0.013214,-0.684373,-0.344134,0.552962,-0.052739,0.000119,-0.334496,0.524550,-0.033220,0.951603,-0.372703,0.586189,-0.029895,0.963908,-0.304213,0.512869,-0.068074,0.957458,-0.364884,0.588269,-0.079746,0.968743,-0.334533,0.524375,-0.033146,-0.372563,0.586160,-0.029913,-0.304248,0.513031,-0.068033,-0.364952,0.588312,-0.079842,-0.614887,0.508159,-0.011549
