Format Version,1.23,Take Name,calib_desktop_012,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-07-28 08.03.13.726 PM,Capture Start Frame,188798,Total Frames in Take,33,Total Exported Frames,33,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Kinect_cam2,Kinect_cam2,Kinect_cam2,Kinect_cam2,Kinect_cam2,Kinect_cam2,Kinect_cam2,Kinect_cam2,"Kinect_cam2:Marker1","Kinect_cam2:Marker1","Kinect_cam2:Marker1","Kinect_cam2:Marker1","Kinect_cam2:Marker2","Kinect_cam2:Marker2","Kinect_cam2:Marker2","Kinect_cam2:Marker2","Kinect_cam2:Marker3","Kinect_cam2:Marker3","Kinect_cam2:Marker3","Kinect_cam2:Marker3","Kinect_cam2:Marker4","Kinect_cam2:Marker4","Kinect_cam2:Marker4","Kinect_cam2:Marker4",Kinect_cam2:Marker1,Kinect_cam2:Marker1,Kinect_cam2:Marker1,Kinect_cam2:Marker2,Kinect_cam2:Marker2,Kinect_cam2:Marker2,Kinect_cam2:Marker3,Kinect_cam2:Marker3,Kinect_cam2:Marker3,Kinect_cam2:Marker4,Kinect_cam2:Marker4,Kinect_cam2:Marker4,Unlabeled 1059,Unlabeled 1059,Unlabeled 1059,Unlabeled 1060,Unlabeled 1060,Unlabeled 1060
,ID,"68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","CC5A0","CC5A0","CC5A0","CC6E0","CC6E0","CC6E0","CC5E0","CC5E0","CC5E0","CC700","CC700","CC700","CC970","CC970","CC970","CCA90","CCA90","CCA90"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.044033,0.831548,-0.009916,0.553616,0.309795,0.553501,-0.166168,0.000149,0.290920,0.526522,-0.180204,0.988799,0.327195,0.586735,-0.198337,0.971111,0.278521,0.514239,-0.135891,0.951045,0.342320,0.586548,-0.150152,0.983726,0.290897,0.526537,-0.180168,0.327142,0.586637,-0.198304,0.278632,0.514355,-0.136003,0.342285,0.586515,-0.150108,0.524165,0.492624,-0.320933,,,
1,0.008333,0.043993,0.831539,-0.009909,0.553633,0.309788,0.553507,-0.166164,0.000152,0.290915,0.526526,-0.180200,0.987584,0.327187,0.586741,-0.198334,0.971228,0.278516,0.514243,-0.135887,0.950681,0.342310,0.586557,-0.150148,0.982589,0.290891,0.526546,-0.180161,0.327136,0.586641,-0.198306,0.278629,0.514358,-0.136000,0.342271,0.586522,-0.150102,0.524171,0.492628,-0.320934,,,
2,0.016667,0.043804,0.831377,-0.009796,0.553893,0.309801,0.553527,-0.166171,0.000163,0.290948,0.526537,-0.180218,0.987584,0.327205,0.586766,-0.198332,0.971228,0.278527,0.514251,-0.135912,0.950681,0.342299,0.586592,-0.150137,0.982589,0.290974,0.526586,-0.180213,0.327124,0.586654,-0.198299,0.278622,0.514372,-0.135993,0.342258,0.586534,-0.150092,0.524066,0.492607,-0.320910,,,
3,0.025000,0.043833,0.831366,-0.009835,0.553907,0.309806,0.553522,-0.166169,0.000163,0.290951,0.526534,-0.180215,0.986153,0.327214,0.586759,-0.198330,0.965059,0.278527,0.514250,-0.135909,0.956579,0.342306,0.586584,-0.150134,0.978680,0.290978,0.526582,-0.180212,0.327134,0.586649,-0.198297,0.278623,0.514372,-0.135989,0.342264,0.586525,-0.150091,0.524069,0.492607,-0.320912,,,
4,0.033333,0.043938,0.831520,-0.009909,0.553665,0.309784,0.553506,-0.166164,0.000156,0.290915,0.526523,-0.180200,0.986153,0.327182,0.586740,-0.198334,0.965059,0.278513,0.514242,-0.135887,0.956579,0.342302,0.586561,-0.150147,0.978680,0.290892,0.526545,-0.180161,0.327132,0.586640,-0.198305,0.278630,0.514361,-0.136000,0.342258,0.586521,-0.150102,0.524066,0.492605,-0.320916,,,
5,0.041667,0.043938,0.831562,-0.009863,0.553603,0.309779,0.553491,-0.166171,0.000162,0.290909,0.526508,-0.180206,0.987829,0.327170,0.586728,-0.198341,0.970861,0.278514,0.514222,-0.135892,0.948762,0.342297,0.586545,-0.150156,0.980338,0.290893,0.526529,-0.180165,0.327115,0.586629,-0.198311,0.278631,0.514346,-0.136007,0.342252,0.586499,-0.150112,0.524060,0.492604,-0.320915,,,
6,0.050000,0.043921,0.831532,-0.009850,0.553650,0.309778,0.553483,-0.166172,0.000163,0.290911,0.526500,-0.180209,0.987829,0.327172,0.586721,-0.198340,0.970861,0.278512,0.514214,-0.135897,0.948762,0.342293,0.586540,-0.150154,0.980338,0.290893,0.526523,-0.180171,0.327120,0.586622,-0.198310,0.278633,0.514339,-0.136009,0.342242,0.586490,-0.150109,0.524061,0.492606,-0.320913,,,
7,0.058333,0.044011,0.831503,-0.009902,0.553685,0.309788,0.553492,-0.166168,0.000155,0.290916,0.526512,-0.180207,0.987453,0.327192,0.586726,-0.198334,0.971759,0.278511,0.514229,-0.135896,0.949723,0.342309,0.586541,-0.150146,0.981242,0.290891,0.526533,-0.180168,0.327144,0.586628,-0.198304,0.278629,0.514346,-0.136008,0.342262,0.586501,-0.150103,0.524165,0.492630,-0.320936,0.024974,0.003611,-0.188633
8,0.066667,0.043817,0.831345,-0.009798,0.553940,0.309808,0.553510,-0.166174,0.000167,0.290957,0.526522,-0.180223,0.987453,0.327217,0.586750,-0.198332,0.971759,0.278530,0.514236,-0.135918,0.949723,0.342305,0.586575,-0.150136,0.981242,0.290983,0.526574,-0.180218,0.327138,0.586638,-0.198298,0.278629,0.514358,-0.136000,0.342259,0.586513,-0.150094,0.524060,0.492607,-0.320909,,,
9,0.075000,0.043908,0.831517,-0.009854,0.553674,0.309770,0.553504,-0.166159,0.000166,0.290904,0.526520,-0.180197,0.987598,0.327165,0.586741,-0.198327,0.970863,0.278503,0.514234,-0.135885,0.947927,0.342284,0.586561,-0.150140,0.978180,0.290887,0.526546,-0.180158,0.327113,0.586641,-0.198299,0.278625,0.514360,-0.135997,0.342231,0.586509,-0.150093,0.524062,0.492607,-0.320913,0.015868,0.007761,-0.194623
10,0.083333,0.043851,0.831520,-0.009806,0.553675,0.309767,0.553497,-0.166161,0.000169,0.290905,0.526511,-0.180199,0.987598,0.327157,0.586738,-0.198328,0.970863,0.278506,0.514223,-0.135887,0.947927,0.342276,0.586559,-0.150141,0.978180,0.290890,0.526535,-0.180161,0.327103,0.586638,-0.198300,0.278629,0.514353,-0.136000,0.342222,0.586504,-0.150095,0.524167,0.492625,-0.320937,,,
11,0.091667,0.043906,0.831528,-0.009859,0.553658,0.309782,0.553488,-0.166165,0.000158,0.290915,0.526504,-0.180202,0.987971,0.327176,0.586725,-0.198334,0.970891,0.278516,0.514219,-0.135890,0.949278,0.342296,0.586546,-0.150148,0.980865,0.290893,0.526525,-0.180165,0.327124,0.586625,-0.198306,0.278634,0.514340,-0.136002,0.342252,0.586505,-0.150101,0.524169,0.492624,-0.320934,,,
12,0.100000,0.044048,0.831560,-0.009922,0.553597,0.309800,0.553494,-0.166175,0.000146,0.290923,0.526516,-0.180210,0.987971,0.327199,0.586727,-0.198344,0.970891,0.278526,0.514233,-0.135897,0.949278,0.342327,0.586540,-0.150160,0.980865,0.290896,0.526531,-0.180170,0.327151,0.586632,-0.198312,0.278637,0.514345,-0.136010,0.342290,0.586509,-0.150118,0.524062,0.492601,-0.320910,,,
13,0.108333,0.044062,0.831565,-0.009903,0.553588,0.309790,0.553503,-0.166174,0.000150,0.290913,0.526526,-0.180211,0.987376,0.327189,0.586738,-0.198342,0.971313,0.278517,0.514240,-0.135897,0.950835,0.342317,0.586548,-0.150158,0.983396,0.290887,0.526544,-0.180171,0.327140,0.586639,-0.198311,0.278630,0.514354,-0.136011,0.342279,0.586516,-0.150114,0.524068,0.492609,-0.320910,,,
14,0.116667,0.043993,0.831551,-0.009891,0.553614,0.309785,0.553513,-0.166167,0.000156,0.290912,0.526532,-0.180203,0.987376,0.327182,0.586748,-0.198336,0.971313,0.278515,0.514248,-0.135890,0.950835,0.342308,0.586563,-0.150151,0.983396,0.290892,0.526552,-0.180167,0.327127,0.586647,-0.198307,0.278630,0.514367,-0.136003,0.342269,0.586526,-0.150104,0.524068,0.492609,-0.320909,,,
15,0.125000,0.043808,0.831378,-0.009812,0.553891,0.309809,0.553524,-0.166173,0.000165,0.290955,0.526535,-0.180219,0.985606,0.327214,0.586763,-0.198334,0.965162,0.278534,0.514250,-0.135912,0.956133,0.342308,0.586589,-0.150139,0.978291,0.290982,0.526585,-0.180211,0.327135,0.586653,-0.198302,0.278631,0.514371,-0.135995,0.342263,0.586528,-0.150097,0.524167,0.492628,-0.320935,,,
16,0.133333,0.043943,0.831540,-0.009882,0.553636,0.309788,0.553516,-0.166162,0.000154,0.290918,0.526533,-0.180198,0.988651,0.327183,0.586752,-0.198331,0.971070,0.278520,0.514249,-0.135884,0.950427,0.342307,0.586570,-0.150146,0.981931,0.290898,0.526552,-0.180162,0.327130,0.586653,-0.198303,0.278634,0.514368,-0.135996,0.342267,0.586532,-0.150099,0.524165,0.492625,-0.320938,,,
17,0.141667,0.044081,0.831576,-0.009916,0.553570,0.309797,0.553516,-0.166164,0.000146,0.290918,0.526540,-0.180200,0.988651,0.327196,0.586751,-0.198333,0.971070,0.278523,0.514255,-0.135886,0.950427,0.342326,0.586560,-0.150149,0.981931,0.290893,0.526556,-0.180159,0.327146,0.586653,-0.198303,0.278632,0.514365,-0.136000,0.342293,0.586532,-0.150105,0.524060,0.492605,-0.320916,0.015612,0.007785,-0.194361
18,0.150000,0.044049,0.831562,-0.009930,0.553593,0.309796,0.553518,-0.166154,0.000145,0.290919,0.526540,-0.180189,0.988238,0.327196,0.586751,-0.198324,0.971942,0.278522,0.514257,-0.135875,0.952053,0.342323,0.586564,-0.150140,0.984176,0.290894,0.526554,-0.180152,0.327145,0.586655,-0.198295,0.278631,0.514369,-0.135987,0.342290,0.586534,-0.150095,0.524065,0.492606,-0.320915,0.015609,0.007787,-0.194363
19,0.158333,0.044017,0.831546,-0.009959,0.553619,0.309793,0.553517,-0.166155,0.000146,0.290917,0.526538,-0.180189,0.988238,0.327194,0.586748,-0.198327,0.971942,0.278518,0.514258,-0.135875,0.952053,0.342319,0.586565,-0.150142,0.984176,0.290893,0.526554,-0.180152,0.327145,0.586652,-0.198298,0.278628,0.514370,-0.135985,0.342282,0.586533,-0.150098,0.524067,0.492605,-0.320915,0.015610,0.007788,-0.194363
20,0.166667,0.043850,0.831387,-0.009823,0.553874,0.309811,0.553514,-0.166177,0.000161,0.290954,0.526527,-0.180223,0.986483,0.327217,0.586752,-0.198337,0.964730,0.278534,0.514241,-0.135916,0.956663,0.342313,0.586575,-0.150143,0.979832,0.290980,0.526574,-0.180217,0.327137,0.586641,-0.198303,0.278628,0.514361,-0.135999,0.342273,0.586519,-0.150101,0.524062,0.492604,-0.320912,0.015608,0.007781,-0.194360
21,0.175000,0.044044,0.831583,-0.009888,0.553563,0.309789,0.553503,-0.166176,0.000153,0.290913,0.526525,-0.180212,0.986483,0.327185,0.586739,-0.198345,0.964730,0.278520,0.514239,-0.135898,0.956663,0.342316,0.586550,-0.150162,0.979832,0.290891,0.526543,-0.180174,0.327130,0.586639,-0.198315,0.278633,0.514356,-0.136012,0.342279,0.586515,-0.150116,0.524166,0.492628,-0.320935,,,
22,0.183333,0.043816,0.831407,-0.009749,0.553848,0.309800,0.553517,-0.166183,0.000168,0.290947,0.526528,-0.180230,0.985224,0.327200,0.586760,-0.198342,0.962963,0.278531,0.514238,-0.135924,0.955322,0.342299,0.586582,-0.150149,0.978929,0.290978,0.526579,-0.180225,0.327114,0.586645,-0.198306,0.278627,0.514362,-0.136009,0.342258,0.586522,-0.150106,0.524066,0.492605,-0.320908,,,
23,0.191667,0.043825,0.831373,-0.009794,0.553898,0.309805,0.553519,-0.166173,0.000165,0.290951,0.526531,-0.180221,0.985224,0.327210,0.586759,-0.198332,0.962963,0.278529,0.514244,-0.135915,0.955322,0.342303,0.586582,-0.150137,0.978929,0.290976,0.526581,-0.180214,0.327133,0.586648,-0.198297,0.278628,0.514365,-0.135997,0.342257,0.586521,-0.150096,0.524065,0.492603,-0.320910,0.024976,0.003613,-0.188634
24,0.200000,0.043932,0.831507,-0.009887,0.553687,0.309772,0.553505,-0.166157,0.000164,0.290904,0.526521,-0.180194,0.987628,0.327170,0.586739,-0.198325,0.970424,0.278501,0.514238,-0.135882,0.948005,0.342288,0.586560,-0.150138,0.978952,0.290883,0.526547,-0.180157,0.327119,0.586637,-0.198296,0.278624,0.514363,-0.135995,0.342236,0.586512,-0.150091,0.524066,0.492607,-0.320911,,,
25,0.208333,0.043910,0.831498,-0.009890,0.553701,0.309770,0.553494,-0.166162,0.000164,0.290903,0.526510,-0.180199,0.987628,0.327168,0.586728,-0.198331,0.970424,0.278499,0.514228,-0.135887,0.948005,0.342284,0.586550,-0.150143,0.978952,0.290883,0.526537,-0.180161,0.327119,0.586627,-0.198303,0.278622,0.514350,-0.135999,0.342230,0.586501,-0.150096,0.524168,0.492628,-0.320935,,,
26,0.216667,0.043931,0.831552,-0.009831,0.553619,0.309770,0.553484,-0.166169,0.000167,0.290902,0.526501,-0.180206,0.987496,0.327162,0.586724,-0.198337,0.970014,0.278507,0.514213,-0.135893,0.947851,0.342287,0.586540,-0.150152,0.978822,0.290885,0.526528,-0.180168,0.327108,0.586621,-0.198308,0.278629,0.514338,-0.136007,0.342236,0.586491,-0.150105,0.524163,0.492627,-0.320935,0.015607,0.007783,-0.194360
27,0.225000,0.043991,0.831568,-0.009833,0.553591,0.309777,0.553487,-0.166174,0.000162,0.290905,0.526507,-0.180212,0.987496,0.327170,0.586727,-0.198341,0.970014,0.278511,0.514217,-0.135899,0.947851,0.342298,0.586538,-0.150157,0.978822,0.290887,0.526530,-0.180173,0.327117,0.586625,-0.198310,0.278630,0.514340,-0.136014,0.342250,0.586493,-0.150113,0.524167,0.492627,-0.320936,,,
28,0.233333,0.043908,0.831431,-0.009799,0.553804,0.309819,0.553504,-0.166189,0.000162,0.290959,0.526520,-0.180235,0.986448,0.327223,0.586745,-0.198349,0.962826,0.278545,0.514231,-0.135927,0.956434,0.342326,0.586562,-0.150157,0.981387,0.290988,0.526565,-0.180229,0.327136,0.586631,-0.198309,0.278636,0.514352,-0.136013,0.342293,0.586509,-0.150116,0.524060,0.492605,-0.320912,,,
