Format Version,1.23,Take Name,calib_desktop_027,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-07-28 08.16.28.900 PM,Capture Start Frame,284218,Total Frames in Take,28,Total Exported Frames,28,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Kinect_cam2,Kinect_cam2,Kinect_cam2,Kinect_cam2,Kinect_cam2,Kinect_cam2,Kinect_cam2,Kinect_cam2,"Kinect_cam2:Marker1","Kinect_cam2:Marker1","Kinect_cam2:Marker1","Kinect_cam2:Marker1","Kinect_cam2:Marker2","Kinect_cam2:Marker2","Kinect_cam2:Marker2","Kinect_cam2:Marker2","Kinect_cam2:Marker3","Kinect_cam2:Marker3","Kinect_cam2:Marker3","Kinect_cam2:Marker3","Kinect_cam2:Marker4","Kinect_cam2:Marker4","Kinect_cam2:Marker4","Kinect_cam2:Marker4",Kinect_cam2:Marker1,Kinect_cam2:Marker1,Kinect_cam2:Marker1,Kinect_cam2:Marker2,Kinect_cam2:Marker2,Kinect_cam2:Marker2,Kinect_cam2:Marker3,Kinect_cam2:Marker3,Kinect_cam2:Marker3,Kinect_cam2:Marker4,Kinect_cam2:Marker4,Kinect_cam2:Marker4,Unlabeled 1137,Unlabeled 1137,Unlabeled 1137
,ID,"68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","DF6B0","DF6B0","DF6B0","DF290","DF290","DF290","DF8C0","DF8C0","DF8C0","DF2C0","DF2C0","DF2C0","DFA00","DFA00","DFA00"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.004031,0.064884,0.222479,0.972768,-0.169992,0.547489,0.404409,0.000156,-0.142293,0.529239,0.390960,0.969859,-0.158763,0.589102,0.428581,0.963575,-0.173618,0.502010,0.367601,0.951558,-0.205329,0.569623,0.430253,0.969608,-0.142203,0.529230,0.391041,-0.158842,0.589031,0.428482,-0.173710,0.502168,0.367664,-0.205246,0.569546,0.430209,-0.029815,-0.012835,-0.164476
1,0.008333,0.004002,0.064853,0.222558,0.972752,-0.170001,0.547490,0.404411,0.000160,-0.142298,0.529245,0.390965,0.969859,-0.158780,0.589107,0.428583,0.963575,-0.173616,0.502010,0.367605,0.951558,-0.205343,0.569620,0.430252,0.969608,-0.142206,0.529229,0.391043,-0.158877,0.589038,0.428488,-0.173711,0.502169,0.367667,-0.205243,0.569546,0.430206,-0.029165,-0.012539,-0.164804
2,0.016667,0.004373,0.064464,0.222014,0.972901,-0.169963,0.547488,0.404443,0.000116,-0.142274,0.529221,0.390999,0.977966,-0.158709,0.589071,0.428656,0.984151,-0.173610,0.502042,0.367597,0.958366,-0.205295,0.569638,0.430280,0.967455,-0.142200,0.529227,0.391046,-0.158742,0.589043,0.428610,-0.173705,0.502160,0.367667,-0.205242,0.569544,0.430209,-0.029160,-0.012533,-0.164804
3,0.025000,0.003985,0.064857,0.222579,0.972747,-0.169987,0.547486,0.404414,0.000156,-0.142284,0.529241,0.390968,0.970034,-0.158769,0.589103,0.428584,0.962417,-0.173601,0.502004,0.367609,0.952323,-0.205331,0.569615,0.430254,0.968255,-0.142193,0.529225,0.391045,-0.158863,0.589034,0.428490,-0.173693,0.502160,0.367669,-0.205234,0.569544,0.430210,-0.029819,-0.012835,-0.164471
4,0.033333,0.003718,0.064706,0.222510,0.972774,-0.169920,0.547471,0.404477,0.000132,-0.142213,0.529217,0.391051,0.970034,-0.158707,0.589098,0.428633,0.962417,-0.173524,0.501973,0.367691,0.952323,-0.205272,0.569616,0.430292,0.968255,-0.142184,0.529222,0.391043,-0.158729,0.589041,0.428606,-0.173573,0.502100,0.367808,-0.205230,0.569540,0.430209,-0.029824,-0.012832,-0.164467
5,0.041667,0.003356,0.065083,0.222954,0.972648,-0.169937,0.547474,0.404441,0.000174,-0.142220,0.529235,0.391014,0.992266,-0.158750,0.589132,0.428556,0.983369,-0.173518,0.501942,0.367695,0.955165,-0.205295,0.569605,0.430259,0.970159,-0.142179,0.529228,0.391040,-0.158816,0.589031,0.428477,-0.173564,0.502108,0.367804,-0.205223,0.569546,0.430203,-0.030067,-0.012798,-0.164730
