Format Version,1.23,Take Name,calib_desktop_020,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-07-28 08.10.19.531 PM,Capture Start Frame,239894,Total Frames in Take,47,Total Exported Frames,47,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Kinect_cam2,Kinect_cam2,Kinect_cam2,Kinect_cam2,Kinect_cam2,Kinect_cam2,Kinect_cam2,Kinect_cam2,"Kinect_cam2:Marker1","Kinect_cam2:Marker1","Kinect_cam2:Marker1","Kinect_cam2:Marker1","Kinect_cam2:Marker2","Kinect_cam2:Marker2","Kinect_cam2:Marker2","Kinect_cam2:Marker2","Kinect_cam2:Marker3","Kinect_cam2:Marker3","Kinect_cam2:Marker3","Kinect_cam2:Marker3","Kinect_cam2:Marker4","Kinect_cam2:Marker4","Kinect_cam2:Marker4","Kinect_cam2:Marker4",Kinect_cam2:Marker1,Kinect_cam2:Marker1,Kinect_cam2:Marker1,Kinect_cam2:Marker2,Kinect_cam2:Marker2,Kinect_cam2:Marker2,Kinect_cam2:Marker3,Kinect_cam2:Marker3,Kinect_cam2:Marker3,Kinect_cam2:Marker4,Kinect_cam2:Marker4,Kinect_cam2:Marker4
,ID,"68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","DAA70","DAA70","DAA70","DA9E0","DA9E0","DA9E0","DAA00","DAA00","DAA00","DA9B0","DA9B0","DA9B0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.041409,0.511043,-0.036365,-0.857787,-0.438293,0.578187,0.199604,0.000125,-0.417595,0.550924,0.210065,0.993041,-0.452866,0.609168,0.235239,0.966564,-0.409620,0.541411,0.164085,0.962917,-0.472877,0.611298,0.188918,0.989444,-0.417599,0.550949,0.210076,-0.452803,0.609069,0.235176,-0.409695,0.541506,0.164170,-0.472860,0.611277,0.188885
1,0.008333,-0.041294,0.510331,-0.037332,-0.858175,-0.438265,0.578256,0.199601,0.000160,-0.417509,0.551038,0.210065,0.962280,-0.452833,0.609259,0.235219,0.953718,-0.409589,0.541479,0.164085,0.965234,-0.472918,0.611298,0.188926,0.981136,-0.417504,0.551189,0.210065,-0.452795,0.609083,0.235177,-0.409694,0.541513,0.164169,-0.472856,0.611289,0.188884
2,0.016667,-0.040866,0.509872,-0.037453,-0.858463,-0.438232,0.578293,0.199603,0.000158,-0.417470,0.551080,0.210070,0.962280,-0.452756,0.609332,0.235208,0.953718,-0.409600,0.541477,0.164091,0.965234,-0.472889,0.611333,0.188934,0.981136,-0.417497,0.551202,0.210069,-0.452690,0.609181,0.235169,-0.409681,0.541531,0.164175,-0.472847,0.611308,0.188889
3,0.025000,-0.040975,0.509222,-0.038175,-0.858811,-0.438272,0.578279,0.199620,0.000141,-0.417458,0.551102,0.210075,0.972836,-0.452788,0.609320,0.235226,0.955096,-0.409640,0.541481,0.164090,0.972102,-0.472989,0.611264,0.188979,0.991965,-0.417502,0.551201,0.210072,-0.452699,0.609174,0.235172,-0.409686,0.541531,0.164178,-0.472987,0.611261,0.188947
4,0.033333,-0.041554,0.510254,-0.037108,-0.858217,-0.438314,0.578272,0.199611,0.000166,-0.417559,0.551045,0.210053,0.972836,-0.452871,0.609253,0.235253,0.955096,-0.409650,0.541515,0.164065,0.972102,-0.472965,0.611325,0.188966,0.991965,-0.417506,0.551193,0.210073,-0.452869,0.609081,0.235234,-0.409811,0.541568,0.164136,-0.472860,0.611297,0.188893
5,0.041667,-0.041306,0.510332,-0.037320,-0.858174,-0.438262,0.578257,0.199613,0.000159,-0.417506,0.551039,0.210077,0.962090,-0.452830,0.609259,0.235233,0.954007,-0.409586,0.541481,0.164096,0.965345,-0.472914,0.611300,0.188940,0.980990,-0.417502,0.551190,0.210075,-0.452791,0.609084,0.235193,-0.409690,0.541514,0.164181,-0.472853,0.611291,0.188896
6,0.050000,-0.041308,0.510336,-0.037303,-0.858172,-0.438252,0.578264,0.199612,0.000158,-0.417496,0.551045,0.210075,0.962090,-0.452819,0.609266,0.235232,0.954007,-0.409576,0.541488,0.164095,0.965345,-0.472903,0.611308,0.188939,0.980990,-0.417493,0.551194,0.210076,-0.452779,0.609093,0.235194,-0.409681,0.541524,0.164178,-0.472842,0.611297,0.188894
7,0.058333,-0.040875,0.509876,-0.037402,-0.858462,-0.438222,0.578292,0.199610,0.000161,-0.417462,0.551077,0.210076,0.967942,-0.452743,0.609330,0.235217,0.956985,-0.409592,0.541477,0.164096,0.967548,-0.472875,0.611335,0.188943,0.983138,-0.417487,0.551203,0.210075,-0.452677,0.609175,0.235180,-0.409675,0.541529,0.164181,-0.472833,0.611311,0.188896
8,0.066667,-0.040956,0.509185,-0.038131,-0.858836,-0.438258,0.578283,0.199625,0.000143,-0.417446,0.551104,0.210079,0.967942,-0.452769,0.609325,0.235233,0.956985,-0.409633,0.541482,0.164093,0.967548,-0.472973,0.611272,0.188988,0.983138,-0.417491,0.551203,0.210075,-0.452679,0.609180,0.235182,-0.409680,0.541533,0.164182,-0.472971,0.611266,0.188955
9,0.075000,-0.041528,0.510608,-0.037231,-0.858002,-0.438271,0.578270,0.199629,0.000144,-0.417519,0.551048,0.210091,0.960780,-0.452863,0.609253,0.235255,0.959434,-0.409570,0.541514,0.164111,0.965980,-0.472919,0.611316,0.188950,0.977647,-0.417493,0.551202,0.210079,-0.452851,0.609092,0.235241,-0.409682,0.541528,0.164187,-0.472845,0.611310,0.188900
10,0.083333,-0.041309,0.510336,-0.037331,-0.858171,-0.438263,0.578261,0.199616,0.000160,-0.417506,0.551043,0.210080,0.960780,-0.452831,0.609263,0.235235,0.959434,-0.409585,0.541485,0.164100,0.965980,-0.472916,0.611303,0.188942,0.977647,-0.417502,0.551194,0.210078,-0.452792,0.609087,0.235194,-0.409690,0.541519,0.164186,-0.472854,0.611294,0.188900
11,0.091667,-0.041306,0.510344,-0.037305,-0.858167,-0.438266,0.578256,0.199608,0.000159,-0.417511,0.551037,0.210071,0.962668,-0.452834,0.609258,0.235227,0.953901,-0.409590,0.541480,0.164091,0.965080,-0.472917,0.611300,0.188934,0.981355,-0.417506,0.551187,0.210070,-0.452794,0.609083,0.235186,-0.409694,0.541515,0.164177,-0.472857,0.611292,0.188891
12,0.100000,-0.041544,0.510632,-0.037214,-0.857989,-0.438277,0.578259,0.199610,0.000145,-0.417527,0.551036,0.210073,0.962668,-0.452870,0.609240,0.235237,0.953901,-0.409575,0.541504,0.164092,0.965080,-0.472924,0.611306,0.188931,0.981355,-0.417502,0.551190,0.210060,-0.452859,0.609080,0.235221,-0.409686,0.541519,0.164168,-0.472848,0.611296,0.188884
13,0.108333,-0.041551,0.510623,-0.037243,-0.857992,-0.438272,0.578265,0.199611,0.000143,-0.417519,0.551043,0.210073,0.960689,-0.452866,0.609246,0.235237,0.959563,-0.409568,0.541511,0.164093,0.966548,-0.472920,0.611310,0.188932,0.977786,-0.417495,0.551198,0.210062,-0.452855,0.609086,0.235221,-0.409678,0.541525,0.164167,-0.472845,0.611302,0.188885
