Format Version,1.23,Take Name,calib_desktop_013,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-07-28 08.04.09.876 PM,Capture Start Frame,195536,Total Frames in Take,29,Total Exported Frames,29,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Kinect_cam2,Kinect_cam2,Kinect_cam2,Kinect_cam2,Kinect_cam2,Kinect_cam2,Kinect_cam2,Kinect_cam2,"Kinect_cam2:Marker1","Kinect_cam2:Marker1","Kinect_cam2:Marker1","Kinect_cam2:Marker1","Kinect_cam2:Marker2","Kinect_cam2:Marker2","Kinect_cam2:Marker2","Kinect_cam2:Marker2","Kinect_cam2:Marker3","Kinect_cam2:Marker3","Kinect_cam2:Marker3","Kinect_cam2:Marker3","Kinect_cam2:Marker4","Kinect_cam2:Marker4","Kinect_cam2:Marker4","Kinect_cam2:Marker4",Kinect_cam2:Marker1,Kinect_cam2:Marker1,Kinect_cam2:Marker1,Kinect_cam2:Marker2,Kinect_cam2:Marker2,Kinect_cam2:Marker2,Kinect_cam2:Marker3,Kinect_cam2:Marker3,Kinect_cam2:Marker3,Kinect_cam2:Marker4,Kinect_cam2:Marker4,Kinect_cam2:Marker4,Unlabeled 1065,Unlabeled 1065,Unlabeled 1065,Unlabeled 1066,Unlabeled 1066,Unlabeled 1066
,ID,"68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","68E166FF62AD11F0114B3180B4AC8DBF","CCFB0","CCFB0","CCFB0","CCFF0","CCFF0","CCFF0","CCCF0","CCCF0","CCCF0","CCFE0","CCFE0","CCFE0","CD290","CD290","CD290","CCC40","CCC40","CCC40"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Marker Quality,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,0.064567,0.983771,-0.154467,0.064543,0.042240,0.345936,-0.413221,0.000091,0.018722,0.323802,-0.397790,0.974838,0.025349,0.372059,-0.451619,0.983095,0.050249,0.317335,-0.362683,0.982656,0.074610,0.370648,-0.440572,0.974407,0.018694,0.323879,-0.397848,0.025299,0.372016,-0.451631,0.050314,0.317338,-0.362707,0.074623,0.370611,-0.440477,,,,,,
1,0.008333,0.064514,0.983766,-0.154522,0.064543,0.042235,0.345935,-0.413203,0.000102,0.018720,0.323801,-0.397768,0.970862,0.025341,0.372052,-0.451603,0.983130,0.050248,0.317341,-0.362662,0.980460,0.074602,0.370647,-0.440557,0.976180,0.018688,0.323884,-0.397844,0.025288,0.372019,-0.451628,0.050324,0.317327,-0.362648,0.074611,0.370611,-0.440469,0.021266,0.282628,-0.384872,,,
2,0.016667,0.064519,0.983768,-0.154514,0.064523,0.042238,0.345940,-0.413201,0.000102,0.018722,0.323805,-0.397766,0.970862,0.025343,0.372057,-0.451600,0.983130,0.050252,0.317344,-0.362661,0.980460,0.074604,0.370651,-0.440556,0.976180,0.018692,0.323888,-0.397842,0.025289,0.372024,-0.451625,0.050326,0.317330,-0.362648,0.074613,0.370616,-0.440469,,,,0.019701,0.005799,-0.193544
3,0.025000,0.064178,0.983799,-0.154326,0.064846,0.042219,0.345944,-0.413179,0.000126,0.018712,0.323787,-0.397764,0.965552,0.025324,0.372059,-0.451580,0.984029,0.050228,0.317340,-0.362643,0.975128,0.074580,0.370689,-0.440509,0.958363,0.018695,0.323897,-0.397844,0.025298,0.372030,-0.451630,0.050327,0.317330,-0.362653,0.074526,0.370619,-0.440369,,,,,,
4,0.033333,0.064572,0.983775,-0.154439,0.064540,0.042245,0.345945,-0.413224,0.000094,0.018727,0.323810,-0.397793,0.965552,0.025355,0.372070,-0.451620,0.984029,0.050254,0.317341,-0.362687,0.975128,0.074615,0.370658,-0.440573,0.958363,0.018703,0.323891,-0.397854,0.025303,0.372026,-0.451633,0.050318,0.317343,-0.362712,0.074626,0.370619,-0.440476,,,,0.018889,0.005862,-0.192705
5,0.041667,0.064152,0.983796,-0.154344,0.064868,0.042221,0.345936,-0.413184,0.000125,0.018715,0.323778,-0.397768,0.966168,0.025326,0.372049,-0.451586,0.984148,0.050230,0.317335,-0.362646,0.975244,0.074582,0.370682,-0.440514,0.959090,0.018697,0.323885,-0.397848,0.025299,0.372022,-0.451636,0.050329,0.317325,-0.362654,0.074530,0.370612,-0.440375,0.020863,0.282721,-0.384089,,,
