,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,tesollo3f:right_hand_back_wrist,tesollo3f:right_hand_back_wrist,tesollo3f:right_hand_back_wrist,tesollo3f:right_hand_index,tesollo3f:right_hand_index,tesollo3f:right_hand_index,tesollo3f:right_hand_left_wrist,tesollo3f:right_hand_left_wrist,tesollo3f:right_hand_left_wrist,tesollo3f:right_hand_middle,tesollo3f:right_hand_middle,tesollo3f:right_hand_middle,tesollo3f:right_hand_right_wrist,tesollo3f:right_hand_right_wrist,tesollo3f:right_hand_right_wrist,tesollo3f:right_hand_thumb,tesollo3f:right_hand_thumb,tesollo3f:right_hand_thumb
,ID,"53914C314E0411F0D40A5771EB50C192","53914C314E0411F0D40A5771EB50C192","53914C314E0411F0D40A5771EB50C192","5B32C7944E0411F0D40A5771EB50C192","5B32C7944E0411F0D40A5771EB50C192","5B32C7944E0411F0D40A5771EB50C192","53914C2F4E0411F0D40A5771EB50C192","53914C2F4E0411F0D40A5771EB50C192","53914C2F4E0411F0D40A5771EB50C192","5B32C7964E0411F0D40A5771EB50C192","5B32C7964E0411F0D40A5771EB50C192","5B32C7964E0411F0D40A5771EB50C192","53914C2D4E0411F0D40A5771EB50C192","53914C2D4E0411F0D40A5771EB50C192","53914C2D4E0411F0D40A5771EB50C192","5B32C7924E0411F0D40A5771EB50C192","5B32C7924E0411F0D40A5771EB50C192","5B32C7924E0411F0D40A5771EB50C192"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
20,0.166667,-0.021102,0.219243,-0.352780,-0.034105,0.178950,-0.226384,0.023119,0.224475,-0.366266,-0.076651,0.155432,-0.240584,-0.038693,0.190977,-0.398906,0.078991,0.159000,-0.310411
21,0.175000,-0.019435,0.218642,-0.353370,-0.031995,0.178417,-0.226926,0.024779,0.223820,-0.366970,-0.074842,0.155541,-0.240966,-0.037427,0.190357,-0.399277,0.080622,0.158263,-0.311310
22,0.183333,-0.017848,0.218147,-0.353828,-0.030047,0.178072,-0.227297,0.026404,0.223115,-0.367554,-0.073136,0.155654,-0.240968,-0.036164,0.189726,-0.399396,0.082383,0.157864,-0.311925
23,0.191667,-0.016206,0.217621,-0.354099,-0.027897,0.177874,-0.227399,0.027786,0.222544,-0.368016,-0.071313,0.155627,-0.240964,-0.034916,0.189082,-0.399244,0.084193,0.157659,-0.312260
24,0.200000,-0.014650,0.217056,-0.354134,-0.025599,0.177959,-0.227096,0.029327,0.221818,-0.368118,-0.069578,0.155542,-0.240605,-0.033695,0.188426,-0.398796,0.086032,0.157981,-0.311912
25,0.208333,-0.013032,0.216486,-0.353817,-0.023202,0.178042,-0.226418,0.030803,0.221168,-0.368044,-0.067639,0.155767,-0.239934,-0.032515,0.187760,-0.398019,0.088054,0.158526,-0.311463
26,0.216667,-0.011621,0.215841,-0.353233,-0.020427,0.178044,-0.225459,0.032158,0.220541,-0.367623,-0.065928,0.156053,-0.238777,-0.031395,0.187085,-0.396880,0.090007,0.159109,-0.310713
27,0.225000,-0.010144,0.215162,-0.352113,-0.017590,0.178276,-0.223925,0.033496,0.220035,-0.366659,-0.064096,0.156565,-0.237096,-0.030357,0.186410,-0.395340,0.092190,0.159585,-0.309881
28,0.233333,-0.008866,0.214651,-0.350685,-0.014769,0.178732,-0.221923,0.034694,0.219323,-0.365496,-0.062446,0.157375,-0.234912,-0.029410,0.185737,-0.393372,0.094316,0.160017,-0.308848
29,0.241667,-0.007649,0.213986,-0.348727,-0.012119,0.179807,-0.219495,0.035842,0.218730,-0.363716,-0.060810,0.158377,-0.232299,-0.028556,0.185072,-0.390950,0.096388,0.160224,-0.307670
